,US,UK
1875-12-31,0.3847953216374269,
1876-12-31,0.3742690058479532,
1877-12-31,0.34658869395711506,
1878-12-31,0.32397660818713453,
1879-12-31,0.3460038986354776,
1880-12-31,0.34678362573099414,
1881-12-31,0.35477582846003897,
1882-12-31,0.35828460038986354,
1883-12-31,0.3473684210526316,
1884-12-31,0.32280701754385965,
1885-12-31,0.31481481481481477,
1886-12-31,0.3074074074074074,
1887-12-31,0.3132553606237817,
1888-12-31,0.3243664717348928,
1889-12-31,0.32105263157894737,
1890-12-31,0.31500974658869396,
1891-12-31,0.30233918128654974,
1892-12-31,0.3048732943469786,
1893-12-31,0.2966861598440546,
1894-12-31,0.2820662768031189,
1895-12-31,0.2797270955165692,
1896-12-31,0.2773879142300195,
1897-12-31,0.2805068226120858,
1898-12-31,0.2791423001949318,
1899-12-31,0.30526315789473685,
1900-12-31,0.30292397660818715,
1901-12-31,0.3087719298245614,
1902-12-31,0.3255360623781676,
1903-12-31,0.3134502923976608,
1904-12-31,0.3267056530214425,
1905-12-31,0.3304093567251462,
1906-12-31,0.34405458089668617,
1907-12-31,0.3516569200779727,
1908-12-31,0.35243664717348927,
1909-12-31,0.3692007797270956,
1910-12-31,0.3612085769980507,
1911-12-31,0.37231968810916183,
1912-12-31,0.38265107212475635,
1913-12-31,0.3822612085769981,
1914-12-31,0.3912280701754386,
1915-12-31,0.41208576998050683,
1916-12-31,0.4851851851851853,
1917-12-31,0.5758284600389864,
1918-12-31,0.6526315789473685,
1919-12-31,0.7682261208576998,
1920-12-31,0.7805068226120858,
1921-12-31,0.6563352826510722,
1922-12-31,0.6362573099415205,
1923-12-31,0.6526315789473685,
1924-12-31,0.6483430799220273,
1925-12-31,0.6604288499025341,
1926-12-31,0.6436647173489279,
1927-12-31,0.6372319688109161,
1928-12-31,0.6384015594541911,
1929-12-31,0.6378167641325536,
1930-12-31,0.6017543859649124,
1931-12-31,0.5405458089668617,
1932-12-31,0.48538011695906436,
1933-12-31,0.5101364522417154,
1934-12-31,0.5382066276803119,
1935-12-31,0.543664717348928,
1936-12-31,0.5536062378167641,
1937-12-31,0.5647173489278753,
1938-12-31,0.5571150097465887,
1939-12-31,0.5627680311890839,
1940-12-31,0.5732943469785575,
1941-12-31,0.6345029239766081,
1942-12-31,0.6826510721247564,
1943-12-31,0.7111111111111111,
1944-12-31,0.7235867446393762,
1945-12-31,0.7610136452241716,
1946-12-31,0.9290448343079922,
1947-12-31,1.0,
1948-12-31,1.034137208320531,
1949-12-31,1.0140182674637135,
1950-12-31,1.0705697153796256,
1951-12-31,1.1267601939492047,
1952-12-31,1.1416327971668694,
1953-12-31,1.1460247990520704,
1954-12-31,1.154610207230545,
1955-12-31,1.1723405885257545,
1956-12-31,1.2109901218469308,
1957-12-31,1.2455003734596353,
1958-12-31,1.2669008179473793,
1959-12-31,1.2909183942817792,
1960-12-31,1.3092083405152493,0.11441014983199546
1961-12-31,1.320302631370776,0.11940667152697582
1962-12-31,1.3418504612663655,0.12257028551854232
1963-12-31,1.3632509057541096,0.12484676198467354
1964-12-31,1.3809001001721164,0.13083748952712437
1965-12-31,1.4112589961305084,0.13670840251872599
1966-12-31,1.461402925891786,0.14174061365438462
1967-12-31,1.5068871452445722,0.14521523562900615
1968-12-31,1.5794621348568154,0.15384188329013518
1969-12-31,1.6689541381575825,0.16103075634107616
1970-12-31,1.7567892213803766,0.1737310987310716
1971-12-31,1.8270502600894472,0.18942680489229255
1972-12-31,1.8974003545576648,0.20392436554502438
1973-12-31,2.0487376897795295,0.22549098469784593
1974-12-31,2.276044500400938,0.2686412366697117
1975-12-31,2.4447391736258393,0.3355142904514804
1976-12-31,2.5630222085661734,0.3860712383277289
1977-12-31,2.7267293013015714,0.4329513172675251
1978-12-31,2.964659893599393,0.4692603980150138
1979-12-31,3.2803747169908735,0.550151514617015
1980-12-31,3.649751193447095,0.6333406743042999
1981-12-31,3.9756143348546504,0.7096357047357312
1982-12-31,4.1362277495913595,0.7480130242599764
1983-12-31,4.292446789287995,0.7877691696353919
1984-12-31,4.506621102093122,0.823848446074353
1985-12-31,4.677488252883383,0.8703535811423376
1986-12-31,4.7330200768902175,0.9029918404351759
1987-12-31,4.93806065783853,0.9365367180417035
1988-12-31,5.1559162750961125,1.0
1989-12-31,5.395130286202478,1.0773526066760681
1990-12-31,5.732592909013242,1.1786521494656539
1991-12-31,5.9034600598035025,1.2395558672792195
1992-12-31,6.07859888936352,1.278808030144846
1993-12-31,6.249466040153781,1.3013373680251232
1994-12-31,6.411789833404527,1.335825756271483
1995-12-31,6.574113626655276,1.3805176290192482
1996-12-31,6.796240922682614,1.4141282343332695
1997-12-31,6.911576249466041,1.4619644357975983
1998-12-31,7.02263989747971,1.5071672884649137
1999-12-31,7.210593763348997,1.5320064252014438
2000-12-31,7.458351131994874,1.5771371894153785
2001-12-31,7.577958137548056,1.5966087047231503
2002-12-31,7.765912003417344,1.6332915503003536
2003-12-31,7.923964117898334,1.679811077366176
2004-12-31,8.188808201623237,1.7340801131703896
2005-12-31,8.462195642887654,1.7779086206764945
2006-12-31,8.67577958137548,1.8454245458639453
2007-12-31,9.03225117471166,1.9223526787645222
2008-12-31,9.030243485689876,1.9697724633981473
2009-12-31,9.284365655702691,1.9877462350745085
2010-12-31,9.417855617257583,2.081195345290972
2011-12-31,9.706236651003845,2.185315666856358
2012-12-31,9.87701836821871,2.2539400580269624
2013-12-31,10.026441691584793,2.318470249095285
2014-12-31,10.09192652712516,2.36465180852967
2015-12-31,10.156386159760785,2.390397563579891
2016-12-31,10.364673216574113,2.441378093760785
2017-12-31,10.58543357539513,2.5352084246807083
2018-12-31,10.788167449807775,2.5777715678051236
2019-12-31,11.032165741136266,2.7015902712815714
2020-12-31,11.17317385732593,2.7418147801683816
2021-12-31,11.20034173430158,2.853133769878391
