,5,10,15,20,30
1999-12-31,4.2810001373291,4.28560018539429,4.25699996948242,4.24090003967285,
2000-12-31,3.69720005989075,3.70799994468689,3.70180010795593,3.69799995422363,
2001-12-31,3.32940006256104,3.58150005340576,3.53679990768433,3.49049997329712,
2002-12-31,1.70439994335175,2.40659999847412,2.59249997138977,2.6810998916626,
2003-12-31,1.23790001869202,2.09200000762939,2.39450001716614,2.43190002441406,
2004-12-31,1.0333000421524,1.69679999351501,2.00390005111694,2.0550000667572,
2005-12-31,2.02480006217957,2.07710003852844,2.07130002975464,1.99650001525879,
2006-12-31,2.41619992256165,2.4186999797821,2.4186999797821,2.3568000793457,
2007-12-31,1.23650002479553,1.82809996604919,2.04850006103516,2.03080010414124,
2008-12-31,2.80879998207092,2.46679997444153,2.37280011177063,2.31859993934631,
2009-12-31,0.754299998283386,1.60409998893738,1.97950005531311,2.18359994888306,
2010-12-31,0.155399993062019,1.11590003967285,1.63559997081757,1.87489998340607,1.86
2011-12-31,-0.781799972057343,-0.029899999499321,0.478399991989136,0.721499979496002,0.78
2012-12-31,-1.4452999830246,-0.664499998092651,-0.0767000019550323,0.236200004816055,0.41
2013-12-31,-0.189400002360344,0.858200013637543,1.38909995555878,1.60739994049072,1.64
2014-12-31,0.299299985170364,0.574000000953674,0.70550000667572,0.783699989318848,0.83
2015-12-31,0.44530001282692,0.856000006198883,1.09850001335144,1.23269999027252,1.28
2016-12-31,0.0548000000417233,0.641300022602081,0.884899973869324,0.978500008583069,0.99
2017-12-31,0.259499996900558,0.49210000038147,0.615299999713898,0.682799994945526,0.73
2018-12-31,0.95169997215271,1.0407999753952,1.13289999961853,1.18640005588531,1.21
2019-12-31,0.0659999996423721,0.237000003457069,0.41159999370575,0.528299987316132,0.58
2020-12-31,-1.57190001010895,-1.02400004863739,-0.677100002765656,-0.475300014019012,-0.37
2021-12-31,-1.56519997119904,-1.02950000762939,-0.728900015354156,-0.476900011301041,-0.44
